SNPS	GENES	REGION	PMID	FIRST.AUTHOR	DATE	Min_P
rs1966628	NCKAP5	2q21.2	31194736	Tiensuu H	2019-06-13	8e-06
rs2001841	FHIT	3p14.2	31194736	Tiensuu H	2019-06-13	6e-07
rs2001841	PTPRG	3p14.2	31194736	Tiensuu H	2019-06-13	6e-07
rs200334508	TRMT61B	2p23.2	31194736	Tiensuu H	2019-06-13	4e-06
rs200390855	RNU7-66P	6q12	31194736	Tiensuu H	2019-06-13	3e-06
rs200390855	AL591004.1	6q12	31194736	Tiensuu H	2019-06-13	3e-06
rs201608472	SUCLG2	3p14.1	31194736	Tiensuu H	2019-06-13	2e-06
rs202013048	FSTL5	4q32.2	31194736	Tiensuu H	2019-06-13	4e-06
rs202013048	MTHFD2P4	4q32.2	31194736	Tiensuu H	2019-06-13	4e-06
rs202170665	DLG2	11q14.1	31194736	Tiensuu H	2019-06-13	5e-06
rs2106507	HDAC9	7p21.1	31194736	Tiensuu H	2019-06-13	6e-06
rs2115040	LVRN	5q23.1	31194736	Tiensuu H	2019-06-13	4e-06
rs2146858	OTX2-AS1	14q22.3	31194736	Tiensuu H	2019-06-13	2e-07
rs2146858	AL391152.1	14q22.3	31194736	Tiensuu H	2019-06-13	2e-07
rs2181743	KTN1-AS1	14q22.3	31194736	Tiensuu H	2019-06-13	5e-06
rs2410212	DSCAM	21q22.2	31194736	Tiensuu H	2019-06-13	2e-06
rs2616554	VGLL4	3p25.2	31194736	Tiensuu H	2019-06-13	4e-06
rs2794256	AL078600.1	6q22.31	25599974	Zhang H	2015-01-19	5e-06
rs2794256	MIR3144	6q22.31	25599974	Zhang H	2015-01-19	5e-06
rs2807820	AL390334.1	14q12	31194736	Tiensuu H	2019-06-13	7e-06
rs2807820	BNIP3P1	14q12	31194736	Tiensuu H	2019-06-13	7e-06
rs28677989	SLC39A11	17q25.1	31194736	Tiensuu H	2019-06-13	3e-06
rs34288836	AC009495.1	2q24.3	31194736	Tiensuu H	2019-06-13	4e-06
rs34288836	AC009495.3	2q24.3	31194736	Tiensuu H	2019-06-13	4e-06
rs34635471	SLC7A14-AS1	3q26.2	31194736	Tiensuu H	2019-06-13	9e-07
rs34635471	AC026316.4	3q26.2	31194736	Tiensuu H	2019-06-13	9e-07
rs35113467	C10orf90	10q26.2	31194736	Tiensuu H	2019-06-13	2e-07
rs35464758	RNU6-329P	9q31.1	31194736	Tiensuu H	2019-06-13	2e-06
rs35464758	AL442644.2	9q31.1	31194736	Tiensuu H	2019-06-13	2e-06
rs3777722	AL159163.1	6q27	25599974	Zhang H	2015-01-19	1e-09
rs3777722	RNASET2	6q27	25599974	Zhang H	2015-01-19	1e-09
rs4627235	NPAS3	14q13.1	31194736	Tiensuu H	2019-06-13	6e-06
rs4704916	AC008677.3	5q33.3	31194736	Tiensuu H	2019-06-13	2e-06
rs4704916	AC025437.5	5q33.3	31194736	Tiensuu H	2019-06-13	2e-06
rs480745	AL157944.1	1p31.1	25599974	Zhang H	2015-01-19	7e-07
rs4919105	UBTD1	10q24.2	31194736	Tiensuu H	2019-06-13	2e-06
rs501631	GLIS3	9p24.2	25599974	Zhang H	2015-01-19	7e-06
rs539974331	EIF1P3	1q25.3	31194736	Tiensuu H	2019-06-13	1e-06
rs539974331	GLUL	1q25.3	31194736	Tiensuu H	2019-06-13	1e-06
rs55889542	KAZN	1p36.21	31194736	Tiensuu H	2019-06-13	5e-06
rs56309858	SDK1	7p22.2	31194736	Tiensuu H	2019-06-13	3e-06
rs563538	SMAD9	13q13.3	25599974	Zhang H	2015-01-19	8e-06
rs572482355	GRID1	10q23.2	31194736	Tiensuu H	2019-06-13	4e-06
rs57670997	SUGCT	7p14.1	31194736	Tiensuu H	2019-06-13	2e-06
rs58505239	HSPA12B	20p13	31194736	Tiensuu H	2019-06-13	7e-06
rs59172073	TBX2	17q23.2	31194736	Tiensuu H	2019-06-13	7e-06
rs59172073	TBX2-AS1	17q23.2	31194736	Tiensuu H	2019-06-13	7e-06
rs610269	DLGAP1	18p11.31	31194736	Tiensuu H	2019-06-13	8e-06
rs61887835	LGR4	11p14.1	31194736	Tiensuu H	2019-06-13	7e-06
rs61953951	AL161616.1	13q12.3	31194736	Tiensuu H	2019-06-13	1e-06
rs61953951	RXFP2	13q12.3	31194736	Tiensuu H	2019-06-13	1e-06
rs62504329	EXTL3	8p21.1	31194736	Tiensuu H	2019-06-13	4e-06
rs62504329	INTS9	8p21.1	31194736	Tiensuu H	2019-06-13	4e-06
rs642846	KSR2	12q24.22	31194736	Tiensuu H	2019-06-13	2e-06
rs6590390	RPS27P20	11q24.3	31194736	Tiensuu H	2019-06-13	5e-06
rs6590390	AP003500.1	11q24.3	31194736	Tiensuu H	2019-06-13	5e-06
rs68147667	LINC01849	2q11.2	31194736	Tiensuu H	2019-06-13	5e-06
rs687184	AL391117.1	9p21.3	31194736	Tiensuu H	2019-06-13	2e-07
rs687184	LINC01239	9p21.3	31194736	Tiensuu H	2019-06-13	2e-07
rs7006225	DLC1	8p22	31194736	Tiensuu H	2019-06-13	7e-06
rs7093347	ADAMTS14	10q22.1	31194736	Tiensuu H	2019-06-13	4e-06
rs72134357	RN7SL782P	5q21.3	31194736	Tiensuu H	2019-06-13	4e-06
rs72134357	RN7SKP122	5q21.3	31194736	Tiensuu H	2019-06-13	4e-06
rs7231406	FHOD3	18q12.2	31194736	Tiensuu H	2019-06-13	6e-06
rs72385215	NA		31194736	Tiensuu H	2019-06-13	5e-06
rs72545460	STK35	20p13	31194736	Tiensuu H	2019-06-13	1e-06
rs72767375	MYT1L	2p25.3	31194736	Tiensuu H	2019-06-13	2e-06
rs73212551	KLHL1	13q21.33	31194736	Tiensuu H	2019-06-13	9e-06
rs73323006	NOG	17q22	31194736	Tiensuu H	2019-06-13	8e-06
rs73323006	C17orf67	17q22	31194736	Tiensuu H	2019-06-13	8e-06
rs737263	SHISAL1	22q13.31	31194736	Tiensuu H	2019-06-13	9e-08
rs73814923	VGLL4	3p25.2	31194736	Tiensuu H	2019-06-13	1e-06
rs73814923	AC022001.2	3p25.2	31194736	Tiensuu H	2019-06-13	1e-06
rs74514462	SVEP1	9q31.3	31194736	Tiensuu H	2019-06-13	8e-06
rs75292075	KALRN	3q21.2	31194736	Tiensuu H	2019-06-13	4e-06
rs7537459	AL162400.1	1p31.3	31194736	Tiensuu H	2019-06-13	5e-06
rs7537459	AL162400.2	1p31.3	31194736	Tiensuu H	2019-06-13	5e-06
rs75495909	KIAA1217	10p12.1	31194736	Tiensuu H	2019-06-13	7e-06
rs79033343	NMNAT2	1q25.3	31194736	Tiensuu H	2019-06-13	3e-06
rs9342062	NDUFA5P9	6q14.3	31194736	Tiensuu H	2019-06-13	4e-06
rs9342062	AL391417.1	6q14.3	31194736	Tiensuu H	2019-06-13	4e-06
rs9389588	NHSL1	6q24.1	31194736	Tiensuu H	2019-06-13	2e-06
rs9974083	DSCAM	21q22.2	31194736	Tiensuu H	2019-06-13	4e-06
